year,month,date,string
1929,April,7,"['1929-04-07', '04/07/1929']"
1987,October,5,"['05/10/1987', 'October 5th, 1987', '05-10-1987', '10/05/1987']"
1975,February,21,"['February 21st, 1975', '21st February, 1975']"
1946,June,21,"['21 Jun 1946', '1946-06-21', '1946/06/21']"
1978,April,19,"['1978-04-19', '19-04-1978', '1978/04/19', '19 Apr 1978']"
2041,August,11,"['11-08-2041', '11 Aug 2041', '11th August, 2041', '11/08/2041', 'August 11th, 2041', '2041-08-11']"
1944,March,18,"['March 18th, 1944', '03/18/1944', '18 Mar 1944', '18th March, 1944', '18/03/1944', '1944/03/18']"
2089,October,18,"['2089/10/18', '18th October, 2089', '10/18/2089', '18/10/2089', 'October 18th, 2089']"
2029,December,24,"['12/24/2029', '2029-12-24', '24/12/2029', '24 Dec 2029', '2029/12/24', '24-12-2029']"
1986,December,20,"['12/20/1986', '20/12/1986', '20th December, 1986']"
2041,June,19,"['19/06/2041', '06/19/2041', '2041-06-19', '2041/06/19', 'June 19th, 2041', '19th June, 2041', '19-06-2041', '19 Jun 2041']"
1978,June,16,"['16th June, 1978', '16-06-1978', '16/06/1978', '16 Jun 1978', 'June 16th, 1978', '1978/06/16', '06/16/1978']"
1932,May,10,"['05/10/1932', '10 May 1932', '1932/05/10', '10/05/1932', '10th May, 1932', '1932-05-10', '10-05-1932']"
1972,February,1,['1972/02/01']
2025,February,28,"['2025/02/28', '02/28/2025']"
2078,November,7,"['2078/11/07', '11/07/2078', '07-11-2078', 'November 7th, 2078', '07/11/2078', '2078-11-07']"
1945,January,17,"['17/01/1945', '17th January, 1945', '01/17/1945']"
2021,May,31,"['May 31st, 2021', '2021/05/31']"
2089,November,30,"['30th November, 2089', '2089/11/30', '11/30/2089']"
2004,January,31,"['January 31st, 2004', '31st January, 2004', '2004-01-31', '31 Jan 2004', '2004/01/31']"
1984,February,5,"['5th February, 1984', '1984/02/05', '05 Feb 1984', '02/05/1984', 'February 5th, 1984']"
2025,May,23,"['23 May 2025', 'May 23rd, 2025', '05/23/2025', '2025/05/23', '23/05/2025', '2025-05-23', '23-05-2025']"
1991,July,3,"['03-07-1991', '3rd July, 1991', '03 Jul 1991']"
1957,September,10,"['10 Sep 1957', '10th September, 1957']"
1994,August,9,"['1994/08/09', 'August 9th, 1994', '09/08/1994', '1994-08-09', '09 Aug 1994']"
1909,April,5,"['April 5th, 1909', '04/05/1909', '1909/04/05', '05/04/1909']"
1920,August,7,"['07/08/1920', '08/07/1920', '07 Aug 1920', '07-08-1920', '7th August, 1920', 'August 7th, 1920']"
1942,October,16,"['October 16th, 1942']"
1971,February,19,"['19/02/1971', '1971/02/19', '19-02-1971']"
2003,April,10,"['2003-04-10', '2003/04/10', '10 Apr 2003', '04/10/2003']"
1901,April,19,"['19/04/1901', '19-04-1901', '19th April, 1901', '19 Apr 1901', '1901-04-19']"
2019,February,22,"['22 Feb 2019', '22/02/2019', '22-02-2019', 'February 22nd, 2019', '02/22/2019']"
2083,January,21,"['01/21/2083', 'January 21st, 2083', '2083/01/21', '21 Jan 2083', '2083-01-21']"
2007,March,31,"['31/03/2007', '2007-03-31', '31-03-2007', '03/31/2007', '31st March, 2007']"
1988,January,12,"['12-01-1988', '12th January, 1988', '1988/01/12', '01/12/1988', 'January 12th, 1988']"
1913,May,8,"['08/05/1913', '05/08/1913', '08 May 1913', 'May 8th, 1913']"
1954,July,19,"['19-07-1954', '1954-07-19', '19 Jul 1954', '19/07/1954']"
1930,March,24,"['24/03/1930', '24th March, 1930', '24 Mar 1930']"
2061,December,6,"['December 6th, 2061', '06-12-2061']"
1947,March,2,['03/02/1947']
2081,June,12,"['2081/06/12', 'June 12th, 2081', '12 Jun 2081']"
1968,May,10,"['1968-05-10', '10 May 1968']"
2078,June,8,"['June 8th, 2078']"
2094,April,8,"['04/08/2094', '2094-04-08', '8th April, 2094', '08-04-2094', 'April 8th, 2094', '08/04/2094', '2094/04/08', '08 Apr 2094']"
2044,February,24,"['24th February, 2044', '2044/02/24', '2044-02-24', '24-02-2044', '24 Feb 2044', 'February 24th, 2044', '24/02/2044', '02/24/2044']"
1923,March,9,"['09 Mar 1923', '09-03-1923', '9th March, 1923', '09/03/1923', '1923/03/09', 'March 9th, 1923', '03/09/1923']"
2076,August,13,"['August 13th, 2076', '13-08-2076', '2076-08-13', '08/13/2076', '13/08/2076', '2076/08/13']"
2005,June,4,"['2005-06-04', '4th June, 2005', '04-06-2005', '2005/06/04', 'June 4th, 2005', '04 Jun 2005', '04/06/2005']"
1950,May,21,"['21/05/1950', '21-05-1950']"
1953,March,5,['1953-03-05']
2021,April,22,"['April 22nd, 2021']"
1948,April,3,"['1948-04-03', 'April 3rd, 1948', '04/03/1948']"
2086,April,28,"['28 Apr 2086', '28/04/2086', '28th April, 2086', '2086/04/28', '2086-04-28']"
2084,January,24,"['2084-01-24', '2084/01/24', '01/24/2084']"
1965,February,3,"['1965-02-03', 'February 3rd, 1965', '03/02/1965', '1965/02/03', '3rd February, 1965', '02/03/1965', '03 Feb 1965']"
2043,March,16,"['16 Mar 2043', '16-03-2043', '16/03/2043']"
1938,November,2,"['02 Nov 1938', '02-11-1938', 'November 2nd, 1938', '11/02/1938', '2nd November, 1938', '1938/11/02', '1938-11-02', '02/11/1938']"
2080,April,20,"['20-04-2080', 'April 20th, 2080', '20th April, 2080', '04/20/2080']"
2012,May,17,"['17/05/2012', '17 May 2012', 'May 17th, 2012', '17-05-2012', '05/17/2012', '2012-05-17']"
1960,March,16,"['1960-03-16', 'March 16th, 1960', '16/03/1960', '16-03-1960', '16 Mar 1960', '1960/03/16']"
1989,May,6,"['6th May, 1989', 'May 6th, 1989', '1989-05-06', '1989/05/06', '06 May 1989']"
2029,August,6,"['6th August, 2029']"
2060,December,24,"['24/12/2060', '2060/12/24', '24th December, 2060', 'December 24th, 2060', '2060-12-24', '24-12-2060', '12/24/2060', '24 Dec 2060']"
1916,November,25,"['25 Nov 1916', '25th November, 1916', '1916/11/25', 'November 25th, 1916', '25/11/1916', '11/25/1916', '25-11-1916']"
2052,February,8,"['2052/02/08', '08/02/2052', 'February 8th, 2052']"
2018,September,30,"['30/09/2018', '09/30/2018', 'September 30th, 2018', '30th September, 2018', '30-09-2018', '2018-09-30']"
2037,May,2,"['2nd May, 2037', '2037/05/02', '05/02/2037', '02-05-2037']"
1911,November,13,"['1911/11/13', '13 Nov 1911', '13/11/1911', '13-11-1911']"
1962,December,12,"['December 12th, 1962', '12th December, 1962']"
2095,October,1,"['October 1st, 2095', '01/10/2095', '2095/10/01', '10/01/2095', '01-10-2095', '2095-10-01', '1st October, 2095']"
1954,January,7,"['January 7th, 1954']"
2018,April,2,"['April 2nd, 2018']"
1948,July,23,"['07/23/1948', '23-07-1948', '1948-07-23', '23rd July, 1948', '23 Jul 1948', 'July 23rd, 1948', '1948/07/23', '23/07/1948']"
1988,June,10,"['10-06-1988', '06/10/1988', 'June 10th, 1988', '1988-06-10']"
1959,June,4,"['1959-06-04', 'June 4th, 1959']"
2075,October,14,"['2075/10/14', 'October 14th, 2075', '14 Oct 2075']"
2026,October,3,"['3rd October, 2026', '10/03/2026']"
2074,August,19,"['August 19th, 2074', '19-08-2074']"
1949,March,20,['20-03-1949']
2081,January,18,"['2081/01/18', '01/18/2081', '18-01-2081', 'January 18th, 2081', '18 Jan 2081', '18/01/2081', '2081-01-18']"
2010,April,15,"['April 15th, 2010']"
2027,June,28,"['28-06-2027', '2027-06-28']"
2081,October,5,"['05 Oct 2081', '10/05/2081']"
1982,October,4,"['1982/10/04', '4th October, 1982', '04/10/1982', '04 Oct 1982', 'October 4th, 1982']"
2062,June,23,"['23 Jun 2062', '23-06-2062', '2062-06-23', 'June 23rd, 2062', '06/23/2062', '23/06/2062']"
1981,June,13,"['06/13/1981', '13 Jun 1981', '1981/06/13', '13/06/1981', '1981-06-13', '13th June, 1981', 'June 13th, 1981']"
2054,October,12,"['10/12/2054', '2054/10/12', '12th October, 2054', 'October 12th, 2054', '12 Oct 2054', '2054-10-12', '12-10-2054']"
2045,October,23,"['23/10/2045', '23 Oct 2045', '2045/10/23', '2045-10-23']"
2064,March,1,"['2064/03/01', '03/01/2064', '2064-03-01', '01 Mar 2064']"
2091,April,20,"['April 20th, 2091', '2091/04/20', '20th April, 2091', '2091-04-20', '20/04/2091', '20 Apr 2091', '20-04-2091']"
2097,September,8,['2097-09-08']
2088,May,17,"['17 May 2088', '17/05/2088', '2088-05-17', '17-05-2088', '2088/05/17', '05/17/2088', 'May 17th, 2088', '17th May, 2088']"
2085,January,18,['2085-01-18']
1907,March,18,"['18/03/1907', '1907/03/18']"
1916,May,29,['05/29/1916']
2087,March,15,"['March 15th, 2087', '2087-03-15']"
1940,January,14,"['1940-01-14', '14th January, 1940', '1940/01/14', '01/14/1940', '14/01/1940', '14 Jan 1940', 'January 14th, 1940']"
2096,July,23,"['2096-07-23', '23 Jul 2096', 'July 23rd, 2096', '23/07/2096', '23rd July, 2096', '23-07-2096', '07/23/2096']"
1905,July,1,"['1905/07/01', 'July 1st, 1905', '01 Jul 1905', '01-07-1905', '07/01/1905', '01/07/1905', '1905-07-01', '1st July, 1905']"
1915,April,17,"['17-04-1915', '17th April, 1915', '17/04/1915', '1915-04-17', '17 Apr 1915', '04/17/1915', 'April 17th, 1915', '1915/04/17']"
2097,June,22,"['22 Jun 2097', '22/06/2097', '06/22/2097', 'June 22nd, 2097', '22-06-2097']"
1927,November,3,"['1927/11/03', 'November 3rd, 1927', '03/11/1927']"
2096,September,3,['2096-09-03']
2051,July,23,"['23-07-2051', '2051-07-23', '23/07/2051']"
1986,December,21,"['12/21/1986', '21-12-1986', 'December 21st, 1986', '21st December, 1986', '1986/12/21', '21 Dec 1986', '21/12/1986']"
2065,December,21,"['21 Dec 2065', '12/21/2065', '21st December, 2065', '21-12-2065', '21/12/2065', 'December 21st, 2065']"
1996,December,21,"['1996-12-21', 'December 21st, 1996', '21st December, 1996', '1996/12/21', '21 Dec 1996']"
2000,November,7,"['11/07/2000', '7th November, 2000', '2000/11/07', '07/11/2000', '07-11-2000', 'November 7th, 2000', '2000-11-07']"
2087,May,12,"['12-05-2087', '2087-05-12', '2087/05/12', '12 May 2087']"
1916,June,20,['20/06/1916']
2045,September,15,"['15-09-2045', '15 Sep 2045']"
1926,June,13,"['13-06-1926', 'June 13th, 1926', '13/06/1926', '13th June, 1926', '1926/06/13', '13 Jun 1926', '06/13/1926']"
1935,March,31,"['31st March, 1935', '31 Mar 1935', '03/31/1935', '1935/03/31', '31/03/1935']"
1947,January,13,"['1947-01-13', '1947/01/13', 'January 13th, 1947', '13 Jan 1947', '13-01-1947']"
2031,September,13,"['September 13th, 2031']"
2028,July,17,"['17/07/2028', '17th July, 2028', '2028/07/17', '17-07-2028', '2028-07-17', '17 Jul 2028', '07/17/2028', 'July 17th, 2028']"
1969,May,21,"['May 21st, 1969', '21st May, 1969', '1969/05/21', '21/05/1969', '1969-05-21', '21-05-1969', '05/21/1969', '21 May 1969']"
1976,March,25,"['25-03-1976', '25/03/1976', '25th March, 1976', '1976-03-25']"
2056,March,29,"['29/03/2056', '29 Mar 2056', 'March 29th, 2056', '29-03-2056', '2056-03-29']"
1904,September,15,"['September 15th, 1904', '1904/09/15']"
2092,December,4,"['04 Dec 2092', '4th December, 2092', '04/12/2092']"
2094,November,6,"['November 6th, 2094', '2094-11-06', '06 Nov 2094', '6th November, 2094', '06/11/2094']"
1985,May,28,"['28-05-1985', 'May 28th, 1985']"
1908,November,14,"['11/14/1908', '14-11-1908', 'November 14th, 1908', '14 Nov 1908', '1908/11/14', '14th November, 1908']"
2005,December,7,['07 Dec 2005']
1954,May,7,"['07-05-1954', '05/07/1954']"
2069,November,4,"['04 Nov 2069', '04-11-2069']"
1912,July,3,"['1912/07/03', '03 Jul 1912', '03/07/1912']"
1993,February,14,"['14th February, 1993']"
2066,January,16,"['16/01/2066', '16th January, 2066', '2066/01/16', '2066-01-16', 'January 16th, 2066', '16 Jan 2066', '16-01-2066']"
2063,April,8,"['08 Apr 2063', '04/08/2063']"
1943,June,14,"['14-06-1943', 'June 14th, 1943', '14 Jun 1943', '14th June, 1943', '14/06/1943', '1943/06/14', '1943-06-14', '06/14/1943']"
1991,April,14,"['April 14th, 1991', '14 Apr 1991', '14-04-1991', '04/14/1991', '1991-04-14', '14/04/1991']"
2025,August,2,"['2nd August, 2025', '02-08-2025', 'August 2nd, 2025', '02/08/2025', '02 Aug 2025', '2025-08-02']"
2084,April,1,"['2084-04-01', '04/01/2084', 'April 1st, 2084']"
1997,February,23,"['23rd February, 1997', '1997-02-23', '02/23/1997', '23-02-1997', '23/02/1997']"
2097,May,27,"['27th May, 2097', '2097-05-27']"
1959,June,19,['06/19/1959']
2003,January,27,"['2003-01-27', '27-01-2003', '27/01/2003', '27 Jan 2003']"
2014,July,3,"['July 3rd, 2014', '2014-07-03', '03/07/2014', '3rd July, 2014', '07/03/2014', '2014/07/03', '03-07-2014']"
2097,July,4,"['2097/07/04', '04 Jul 2097', '2097-07-04', '4th July, 2097', '04-07-2097', '07/04/2097', '04/07/2097', 'July 4th, 2097']"
2069,October,8,"['10/08/2069', '2069/10/08', '08-10-2069', '08 Oct 2069', 'October 8th, 2069', '08/10/2069']"
1910,January,28,"['January 28th, 1910', '28th January, 1910', '01/28/1910', '28 Jan 1910', '28/01/1910', '1910/01/28']"
2025,September,17,['17 Sep 2025']
2076,July,16,"['July 16th, 2076', '16-07-2076', '16 Jul 2076']"
2027,August,1,"['August 1st, 2027', '01/08/2027', '08/01/2027', '1st August, 2027']"
1966,March,27,"['1966/03/27', '1966-03-27', '27th March, 1966', '27 Mar 1966', '03/27/1966', '27-03-1966', '27/03/1966']"
1973,June,23,"['23-06-1973', '1973-06-23', '1973/06/23', '23 Jun 1973', '23/06/1973']"
1927,February,4,"['1927/02/04', 'February 4th, 1927', '04/02/1927']"
2050,November,29,"['29 Nov 2050', '2050/11/29', '29/11/2050', 'November 29th, 2050', '2050-11-29', '29th November, 2050', '29-11-2050', '11/29/2050']"
2087,November,17,"['2087/11/17', '11/17/2087']"
1948,August,29,"['29th August, 1948', '29 Aug 1948', '1948/08/29', '08/29/1948']"
2026,October,30,"['30 Oct 2026', '30-10-2026', '30th October, 2026', '2026/10/30', '30/10/2026', '2026-10-30']"
1939,September,9,"['09/09/1939', '09/09/1939', '1939/09/09', 'September 9th, 1939', '9th September, 1939']"
1991,December,20,['20 Dec 1991']
1919,June,19,"['June 19th, 1919']"
2054,July,7,['2054-07-07']
1909,October,27,"['October 27th, 1909', '1909-10-27', '27-10-1909', '27 Oct 1909', '27/10/1909', '27th October, 1909']"
2030,October,20,"['10/20/2030', '20/10/2030', '20 Oct 2030', '20th October, 2030', '20-10-2030', '2030-10-20', '2030/10/20']"
2026,January,10,"['2026-01-10', '10 Jan 2026', '10/01/2026', '10th January, 2026', '01/10/2026', 'January 10th, 2026', '10-01-2026', '2026/01/10']"
2062,January,8,['2062/01/08']
2058,August,6,"['2058-08-06', '06-08-2058', 'August 6th, 2058', '06/08/2058']"
2081,October,27,"['27 Oct 2081', '2081/10/27', '27/10/2081', 'October 27th, 2081', '27-10-2081', '2081-10-27']"
1921,February,3,"['3rd February, 1921', '1921-02-03', '03 Feb 1921']"
2045,June,4,"['June 4th, 2045', '2045/06/04']"
2056,November,21,"['November 21st, 2056', '21/11/2056', '2056-11-21', '21st November, 2056']"
2044,April,23,"['23 Apr 2044', '2044/04/23']"
1986,March,4,"['04-03-1986', '03/04/1986', '1986/03/04', 'March 4th, 1986']"
1967,July,29,"['29/07/1967', '1967-07-29', '29th July, 1967', '29 Jul 1967']"
1974,April,26,"['1974/04/26', '04/26/1974']"
1975,January,27,"['1975-01-27', '27-01-1975', '27/01/1975', '1975/01/27', '27 Jan 1975', '27th January, 1975', '01/27/1975', 'January 27th, 1975']"
1965,December,10,"['10/12/1965', '10th December, 1965', '1965-12-10']"
2026,October,28,"['10/28/2026', '28 Oct 2026', '28-10-2026', '2026/10/28', 'October 28th, 2026']"
1965,October,15,"['15 Oct 1965', '15/10/1965', '15th October, 1965', '15-10-1965', 'October 15th, 1965', '1965/10/15']"
1924,April,15,"['15th April, 1924']"
2003,November,16,"['2003-11-16', 'November 16th, 2003', '11/16/2003', '16th November, 2003', '16 Nov 2003', '16/11/2003']"
1934,October,12,"['10/12/1934', '12/10/1934', '12th October, 1934', '1934/10/12']"
1963,August,19,"['19 Aug 1963', 'August 19th, 1963', '08/19/1963', '19-08-1963', '19th August, 1963']"
1907,April,18,"['April 18th, 1907', '18th April, 1907', '1907/04/18']"
1955,May,15,"['May 15th, 1955', '15 May 1955', '15/05/1955', '15-05-1955', '15th May, 1955']"
1958,October,12,"['1958-10-12', '12-10-1958', 'October 12th, 1958', '10/12/1958', '12th October, 1958', '1958/10/12', '12 Oct 1958', '12/10/1958']"
2081,December,23,"['23 Dec 2081', '23rd December, 2081', '23/12/2081', '12/23/2081', '2081/12/23']"
1904,January,16,"['1904/01/16', '01/16/1904', '16/01/1904']"
1916,January,30,"['01/30/1916', '30/01/1916', '1916/01/30', 'January 30th, 1916']"
1954,November,26,"['26-11-1954', '11/26/1954', '26/11/1954']"
2057,March,17,"['2057-03-17', '03/17/2057', '17/03/2057', '17-03-2057']"
1945,March,17,"['17-03-1945', '17th March, 1945']"
2075,November,15,"['2075-11-15', '11/15/2075', '15-11-2075', 'November 15th, 2075', '2075/11/15']"
1929,June,8,"['8th June, 1929', 'June 8th, 1929', '06/08/1929', '1929-06-08', '1929/06/08', '08-06-1929', '08/06/1929']"
1960,June,30,"['30-06-1960', '06/30/1960', '30th June, 1960', '1960-06-30', 'June 30th, 1960', '30/06/1960']"
1925,January,17,"['17-01-1925', '17th January, 1925', '1925/01/17', '17/01/1925', 'January 17th, 1925', '17 Jan 1925', '1925-01-17']"
2059,March,29,"['2059/03/29', '03/29/2059', '29 Mar 2059', '2059-03-29', '29-03-2059', '29th March, 2059', '29/03/2059', 'March 29th, 2059']"
1900,November,25,"['25/11/1900', '25 Nov 1900', '25th November, 1900', '25-11-1900']"
1969,September,12,"['1969-09-12', '12 Sep 1969', '12/09/1969', '12-09-1969', 'September 12th, 1969', '09/12/1969']"
2010,April,8,"['08-04-2010', '08/04/2010', '8th April, 2010', 'April 8th, 2010', '04/08/2010', '2010/04/08', '2010-04-08']"
2056,July,11,"['July 11th, 2056', '11-07-2056', '07/11/2056']"
2092,April,1,"['2092/04/01', '04/01/2092', '2092-04-01', '1st April, 2092', '01/04/2092', 'April 1st, 2092', '01-04-2092', '01 Apr 2092']"
1925,October,8,"['October 8th, 1925', '08/10/1925', '8th October, 1925', '1925/10/08']"
2003,May,5,"['2003/05/05', '5th May, 2003', '05/05/2003', '05 May 2003', '05-05-2003', '05/05/2003', '2003-05-05', 'May 5th, 2003']"
2090,November,3,"['2090-11-03', '3rd November, 2090']"
1947,November,23,"['23-11-1947', '23rd November, 1947', '23 Nov 1947', '23/11/1947', '1947-11-23']"
2012,January,2,"['02-01-2012', '02/01/2012', '01/02/2012', 'January 2nd, 2012', '2012/01/02', '2012-01-02']"
1903,July,3,"['1903-07-03', '3rd July, 1903', '03-07-1903']"
1956,November,16,"['November 16th, 1956', '16/11/1956', '16th November, 1956', '1956/11/16', '11/16/1956', '16 Nov 1956', '1956-11-16', '16-11-1956']"
2099,March,3,"['03/03/2099', '2099/03/03', 'March 3rd, 2099', '3rd March, 2099', '03-03-2099', '03 Mar 2099']"
2020,February,28,"['28 Feb 2020', '02/28/2020', '28-02-2020', '2020/02/28', 'February 28th, 2020', '2020-02-28', '28th February, 2020']"
2040,March,12,"['2040/03/12', '12-03-2040', '12th March, 2040', '12 Mar 2040', '12/03/2040', '03/12/2040', '2040-03-12', 'March 12th, 2040']"
1957,August,15,"['15/08/1957', '1957/08/15', 'August 15th, 1957', '15 Aug 1957', '08/15/1957', '1957-08-15', '15th August, 1957']"
1948,November,15,['15-11-1948']
2014,May,22,"['22-05-2014', '05/22/2014']"
1989,February,6,"['02/06/1989', '06/02/1989']"
1900,April,26,"['26-04-1900', 'April 26th, 1900', '26/04/1900', '26th April, 1900', '26 Apr 1900', '1900/04/26', '04/26/1900', '1900-04-26']"
2057,July,18,"['July 18th, 2057', '2057/07/18', '07/18/2057', '18/07/2057']"
1960,April,18,['18-04-1960']
2049,November,28,"['2049-11-28', '28 Nov 2049', 'November 28th, 2049', '28/11/2049']"
1967,December,10,"['1967/12/10', 'December 10th, 1967', '10/12/1967', '10th December, 1967', '10 Dec 1967']"
2069,July,12,"['July 12th, 2069', '12-07-2069', '07/12/2069']"
2001,March,25,"['25th March, 2001', '25 Mar 2001', '25-03-2001']"
2055,September,19,"['19/09/2055', '19-09-2055', '09/19/2055', '2055-09-19', '2055/09/19']"
1928,November,28,"['28-11-1928', '28/11/1928', '1928/11/28', '1928-11-28']"
1974,October,2,"['1974-10-02', '02 Oct 1974', '02/10/1974', '02-10-1974', 'October 2nd, 1974', '2nd October, 1974']"
2087,July,10,"['10-07-2087', '10th July, 2087', '07/10/2087', '10/07/2087']"
1990,October,15,"['15 Oct 1990', '1990-10-15', '1990/10/15', '10/15/1990']"
1975,December,22,"['12/22/1975', '1975-12-22', '22/12/1975', '22-12-1975', '1975/12/22', 'December 22nd, 1975', '22 Dec 1975', '22nd December, 1975']"
1993,July,27,"['27th July, 1993', '27-07-1993', 'July 27th, 1993', '27 Jul 1993', '27/07/1993', '07/27/1993']"
2082,April,6,['2082-04-06']
2049,April,14,"['14th April, 2049', '14-04-2049', '14 Apr 2049', '2049-04-14', 'April 14th, 2049']"
1941,November,2,"['2nd November, 1941', '1941-11-02', '02/11/1941', 'November 2nd, 1941', '02-11-1941', '02 Nov 1941', '1941/11/02', '11/02/1941']"
1976,November,18,"['18/11/1976', '18th November, 1976', '18 Nov 1976']"
2070,February,20,"['20-02-2070', '2070-02-20', 'February 20th, 2070', '02/20/2070']"
2006,October,11,"['2006/10/11', '10/11/2006', '11 Oct 2006', '11/10/2006']"
2003,November,19,"['19/11/2003', '19th November, 2003', '19 Nov 2003']"
1962,July,18,"['July 18th, 1962', '18-07-1962', '18th July, 1962', '1962-07-18', '18 Jul 1962', '18/07/1962', '1962/07/18', '07/18/1962']"
2031,March,1,"['01/03/2031', '03/01/2031']"
2087,January,18,"['18-01-2087', '18th January, 2087']"
2047,June,4,"['2047/06/04', '4th June, 2047', '04 Jun 2047', '04/06/2047', 'June 4th, 2047', '04-06-2047', '2047-06-04', '06/04/2047']"
2015,December,7,"['7th December, 2015', '2015-12-07', '07-12-2015', 'December 7th, 2015', '2015/12/07', '07/12/2015', '07 Dec 2015']"
1987,June,22,"['22-06-1987', '06/22/1987']"
2099,May,6,"['2099/05/06', '05/06/2099', '2099-05-06', '06 May 2099', 'May 6th, 2099', '6th May, 2099', '06/05/2099']"
2025,December,10,"['2025-12-10', '10th December, 2025', '2025/12/10', '12/10/2025', '10-12-2025', '10 Dec 2025']"
1965,April,8,"['08-04-1965', '8th April, 1965', '04/08/1965', '1965-04-08', '1965/04/08', '08/04/1965', 'April 8th, 1965', '08 Apr 1965']"
2074,December,21,"['2074/12/21', '12/21/2074']"
1922,October,23,"['1922-10-23', '23/10/1922', '23 Oct 1922', '23-10-1922', '10/23/1922']"
2053,December,14,"['14/12/2053', '14 Dec 2053', '2053-12-14', '12/14/2053', 'December 14th, 2053']"
2090,July,10,"['2090/07/10', '10th July, 2090', '07/10/2090', '10/07/2090', '10 Jul 2090', 'July 10th, 2090', '10-07-2090', '2090-07-10']"
1934,November,24,"['24-11-1934', '11/24/1934', '24/11/1934', '24th November, 1934', '24 Nov 1934', '1934-11-24', '1934/11/24', 'November 24th, 1934']"
2071,February,28,"['28 Feb 2071', '28/02/2071']"
2096,December,24,"['December 24th, 2096']"
1920,August,20,"['20 Aug 1920', 'August 20th, 1920', '20th August, 1920']"
1959,March,16,"['03/16/1959', '1959-03-16', '16/03/1959', '1959/03/16']"
1921,July,15,"['July 15th, 1921', '07/15/1921', '15 Jul 1921']"
2016,August,1,"['01-08-2016', 'August 1st, 2016', '2016-08-01', '1st August, 2016', '01 Aug 2016', '01/08/2016']"
2041,October,20,"['2041-10-20', '20/10/2041', '2041/10/20']"
1929,February,20,"['1929-02-20', 'February 20th, 1929', '1929/02/20', '20-02-1929', '02/20/1929']"
1991,June,24,"['24/06/1991', '1991/06/24', '24th June, 1991', '24 Jun 1991', '24-06-1991', '1991-06-24', '06/24/1991', 'June 24th, 1991']"
2046,November,4,"['2046-11-04', '04 Nov 2046', '04/11/2046', 'November 4th, 2046', '04-11-2046', '2046/11/04', '11/04/2046']"
1915,August,21,"['August 21st, 1915', '21-08-1915', '1915-08-21', '21 Aug 1915', '21/08/1915', '1915/08/21', '08/21/1915']"
1917,June,24,"['24-06-1917', '1917-06-24', '24 Jun 1917', '1917/06/24', '06/24/1917', 'June 24th, 1917']"
2057,August,17,"['17 Aug 2057', 'August 17th, 2057', '17/08/2057', '2057-08-17', '17-08-2057', '2057/08/17', '17th August, 2057', '08/17/2057']"
1997,October,21,"['21-10-1997', '10/21/1997', '21 Oct 1997', '1997/10/21', '1997-10-21', 'October 21st, 1997']"
2054,July,11,"['2054-07-11', '11 Jul 2054', '07/11/2054', '11/07/2054', 'July 11th, 2054', '11-07-2054', '2054/07/11']"
1904,July,16,"['16 Jul 1904', '1904-07-16', 'July 16th, 1904', '16-07-1904', '07/16/1904', '16/07/1904', '1904/07/16']"
2085,October,15,['15/10/2085']
2039,April,9,"['09 Apr 2039', '04/09/2039', 'April 9th, 2039']"
1945,October,24,"['24-10-1945', '10/24/1945']"
1900,August,26,"['26 Aug 1900', '26th August, 1900', '26/08/1900', 'August 26th, 1900', '1900-08-26', '08/26/1900', '1900/08/26']"
2023,August,26,"['26th August, 2023', '2023/08/26', '26/08/2023']"
1960,January,28,"['January 28th, 1960', '28-01-1960', '1960/01/28', '01/28/1960', '28/01/1960', '1960-01-28']"
1979,April,7,['1979-04-07']
2053,February,22,"['22nd February, 2053', '2053-02-22', 'February 22nd, 2053', '22-02-2053', '2053/02/22', '22 Feb 2053', '22/02/2053', '02/22/2053']"
1999,September,2,['1999-09-02']
2024,June,11,"['June 11th, 2024', '06/11/2024', '2024/06/11', '2024-06-11', '11/06/2024']"
2077,December,15,"['15-12-2077', 'December 15th, 2077', '12/15/2077', '2077-12-15', '15th December, 2077']"
2033,October,30,"['2033/10/30', '2033-10-30', '30th October, 2033', 'October 30th, 2033', '30/10/2033', '30-10-2033', '30 Oct 2033']"
2091,August,5,"['August 5th, 2091', '05 Aug 2091', '2091/08/05', '08/05/2091', '05/08/2091', '2091-08-05']"
2057,September,25,"['09/25/2057', '25 Sep 2057', '2057-09-25']"
1954,December,26,"['12/26/1954', '1954/12/26']"
2030,December,20,"['December 20th, 2030', '2030/12/20', '20-12-2030']"
1948,January,31,"['January 31st, 1948', '31/01/1948', '01/31/1948', '31-01-1948', '31 Jan 1948', '1948/01/31', '31st January, 1948']"
1910,June,1,"['1910/06/01', '01 Jun 1910']"
1917,June,13,"['13th June, 1917', '13 Jun 1917', 'June 13th, 1917', '06/13/1917', '13-06-1917', '1917-06-13']"
2099,July,29,"['29-07-2099', '29/07/2099', '07/29/2099', '2099-07-29', '29 Jul 2099', 'July 29th, 2099', '29th July, 2099']"
2047,October,11,"['11th October, 2047', '2047-10-11', '11-10-2047', '11/10/2047', '11 Oct 2047']"
2096,November,26,"['26th November, 2096', '11/26/2096', '26/11/2096', '2096/11/26']"
2003,July,18,"['07/18/2003', 'July 18th, 2003', '2003-07-18', '18-07-2003', '18/07/2003', '18 Jul 2003', '2003/07/18']"
1950,August,26,"['1950/08/26', '26 Aug 1950', '1950-08-26']"
